Date,Open,High,Low,Close,Volume,AdjClose
2008-12-31,1.54,1.57,1.52,1.57,1337300,24.796048
2008-12-30,1.57,1.58,1.52,1.56,1111200,24.638112
2008-12-29,1.60,1.62,1.53,1.55,1059100,24.480175
2008-12-26,1.59,1.59,1.52,1.57,755200,24.796048
2008-12-24,1.56,1.57,1.52,1.56,621400,24.638112
2008-12-23,1.63,1.65,1.52,1.55,1609400,24.480175
2008-12-22,1.70,1.71,1.61,1.61,1404000,25.427795
2008-12-19,1.68,1.69,1.60,1.60,2331300,25.269858
2008-12-18,1.75,1.76,1.67,1.67,1697000,26.375415
2008-12-17,1.75,1.77,1.71,1.75,1370300,27.638907
2008-12-16,1.79,1.80,1.72,1.80,2053400,28.42859
2008-12-15,1.84,1.85,1.69,1.74,1349500,27.48097
2008-12-12,1.70,1.80,1.66,1.80,1937500,28.42859
2008-12-11,1.79,1.81,1.73,1.73,2047900,27.323033
2008-12-10,1.87,1.89,1.65,1.75,3954600,27.638907
2008-12-09,1.92,1.97,1.86,1.93,1923400,30.481765
2008-12-08,2.04,2.07,1.92,1.93,2736800,30.481765
2008-12-05,1.81,1.95,1.75,1.94,2897200,30.639702
2008-12-04,1.92,2.01,1.81,1.84,2639300,29.060336
2008-12-03,1.82,2.12,1.80,2.01,4838800,31.745259
2008-12-02,1.79,1.87,1.71,1.87,2198900,29.534147
2008-12-01,1.96,2.00,1.65,1.65,2787000,26.059541
2008-11-28,2.00,2.03,1.92,2.01,1616100,31.745259
2008-11-26,1.73,1.96,1.71,1.95,2905200,30.797639
2008-11-25,1.77,1.78,1.67,1.77,2439300,27.954781
2008-11-24,1.73,1.77,1.61,1.77,2618900,27.954781
2008-11-21,1.70,1.70,1.50,1.60,4669500,25.269858
2008-11-20,1.58,1.70,1.44,1.44,4236700,22.742871
2008-11-19,1.85,1.86,1.56,1.56,3124000,24.638112
2008-11-18,1.94,1.97,1.80,1.95,2552400,30.797639
2008-11-17,2.09,2.10,1.91,1.91,2740400,30.165893
2008-11-14,2.11,2.20,2.06,2.08,2885200,32.850814
2008-11-13,2.11,2.23,1.97,2.06,4628900,32.534942
2008-11-12,2.15,2.28,2.03,2.03,2998100,32.061131
2008-11-11,2.17,2.35,2.03,2.26,4499900,35.693675
2008-11-10,2.77,2.84,2.25,2.28,10547000,36.009546
2008-11-07,2.11,2.23,2.04,2.11,3698500,33.324626
2008-11-06,1.98,2.00,1.82,1.87,3497900,29.534147
2008-11-05,2.36,2.38,2.04,2.06,3930700,32.534942
2008-11-04,2.36,2.49,2.31,2.41,5760100,38.062724
2008-11-03,2.00,2.20,1.93,2.14,5220200,33.798434
2008-10-31,1.63,1.96,1.58,1.91,5075000,30.165893
2008-10-30,1.71,1.74,1.59,1.63,4215600,25.743666
2008-10-29,1.81,1.82,1.50,1.55,5523900,24.480175
2008-10-28,1.65,1.83,1.43,1.83,5216600,28.902399
2008-10-27,1.70,1.71,1.35,1.35,5245100,21.321443
2008-10-24,1.76,1.93,1.70,1.70,5485100,26.849224
2008-10-23,2.22,2.22,2.03,2.10,3258200,33.166688
2008-10-22,2.17,2.27,2.11,2.11,2741600,33.324626
2008-10-21,2.24,2.35,2.18,2.21,2586300,34.903992
2008-10-20,2.34,2.34,2.16,2.31,4213500,36.483358
2008-10-17,2.18,2.51,2.10,2.10,5304700,33.166688
2008-10-16,2.54,2.54,2.18,2.43,4306000,38.378595
2008-10-15,2.67,2.70,2.42,2.43,3301400,38.378595
2008-10-14,2.96,2.96,2.51,2.80,5128900,44.222251
2008-10-13,2.94,3.00,2.28,2.57,7061200,40.58971
2008-10-10,2.10,2.40,1.90,2.33,11405400,36.799229
2008-10-09,3.36,3.37,2.39,2.39,11667500,37.746849
2008-10-08,3.49,3.80,3.19,3.19,4358700,50.381778
2008-10-07,4.22,4.22,3.51,3.51,4507900,55.435748
2008-10-06,3.43,3.99,3.25,3.87,6544400,61.12147
2008-10-03,4.62,4.96,3.71,3.86,12031100,60.963529
2008-10-02,4.39,4.40,3.75,4.00,4906800,63.174644
2008-10-01,3.73,4.00,3.50,3.95,6169900,62.384961
2008-09-30,3.18,3.56,2.93,3.33,5477400,52.59289
2008-09-29,3.35,3.52,2.50,2.50,7705200,39.484153
2008-09-26,2.77,3.28,2.75,3.15,6752600,49.750033
2008-09-25,3.90,4.36,2.70,3.02,15548500,47.696858
2008-09-24,5.34,5.39,3.31,3.31,14057800,52.277016
2008-09-23,5.38,5.70,4.80,5.00,12298100,78.968306
2008-09-22,4.58,5.52,4.32,4.72,19929100,74.546082
2008-09-19,4.18,4.45,2.50,3.85,25082900,60.805595
2008-09-18,2.40,2.69,2.10,2.69,12277800,42.484948
2008-09-17,2.29,3.10,1.99,2.05,27304900,32.377005
2008-09-16,1.85,5.12,1.25,3.75,61554300,59.226229
2008-09-15,7.12,7.99,3.50,4.76,36971100,75.177824
2008-09-12,15.15,15.40,11.49,12.14,16033100,191.735048
2008-09-11,15.70,17.80,13.82,17.55,8484000,277.178753
2008-09-10,19.17,19.460001,16.860001,17.50,4126800,276.38907
2008-09-09,22.19,22.39,18.280001,18.37,4389100,290.12955
2008-09-08,24.47,24.680001,21.50,22.760001,2774400,359.463737
2008-09-05,20.330001,22.430001,20.29,22.34,2338800,352.83038
2008-09-04,21.75,22.29,20.930001,21.22,2064200,335.141484
2008-09-03,21.830001,22.60,21.30,22.580001,1388500,356.620873
2008-09-02,22.20,22.880001,21.380001,21.960001,1706200,343.354206
2008-08-29,21.180001,21.67,21.00,21.49,1309800,336.005532
2008-08-28,20.430001,21.510001,20.160001,21.510001,1970800,336.31826
2008-08-27,19.660001,20.27,19.50,20.00,1885500,312.70874
2008-08-26,18.90,19.760001,18.810001,19.64,2204300,307.079973
2008-08-25,19.180001,19.260001,18.64,18.780001,2428600,293.633512
2008-08-22,20.410001,20.42,19.49,19.87,2385100,310.676129
